이름,슬롯,타입,옵션
Soulsmasher,Weapon (2H),Two-Handed Mace,"When you kill an enemy, it explodes for 450–600% of your Life per Kill as damage to all enemies within 20 yards. You no longer benefit from your Life per Kill. ; Basic Information ; Advanced Information ; Pictures and Video ; The damage is directly calculated as the proc factor times your Life per Kill, and is unaffected by your primary stat or any other buffs. ; Randomly drops from the Act 4 & 5 Horadric Cache , the reward for completing all 5 bounties in the act."
Spaulders of Zakara,Shoulders,Shoulders,"Your items become indestructible. ; While this item is equipped your items will no longer lose durability. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 174–205 Base Armor"
Spectrum,Weapon (1H),One-Handed Sword,Unique item that can only be found in Whimsyshire. ; You can find a guide on how to enter Whimyshire at this link. Drops from Unique monsters in Whimsyshire ; Creampuff ; Killaire ; Maisie the Daisy ; Maulin Sorely
Spines of Seething Hatred,Off-hand,Quiver,"Chakram now generates 3–4 Hatred. ; This quiver makes Chakram generate 3–4 Hatred instead of cost 10 Hatred. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Primary Stats"
Spires of the Earth,Shoulders,Set Shoulders,Part of the Might of the Earth set ; The two piece set bonus decreases the Earthquake cooldown by 2 seconds for each enemy killed by the Earthquake. ; The four piece set bonus will cast Earthquake where you land your Leap. ; Earthquakes generated by the 4 piece set bonus WILL generate Fury if you're using the Earthen Might Passive Skill. ; Might of the Earth Pull of the Earth ; Spires of the Earth
Spirit Guards,Wrists,Bracers,Your Spirit Generators reduce your damage taken by 30-40% for 3 seconds. ; This item was exclusive to Season 3. However it can now drop in any game mode. ; The minimum level this item can drop at is 70. Below you will find the range of stats found on the level 70 version. ; 336-421 Base Armor ; Primary Stat ; Critical Hit Chance Increased by 4.5–6.0%
Spite,Off-hand,Mojo,Crafted Mojo that has 4 random Magic Properties.
Squirt's Necklace,Neck,Amulet,"+5–15% Extra Gold from Monsters ; This amulet give you some gold find. Amount increases with level of Amulet. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. ; Secondary Stats"
St. Archew's Gage,Hands,Gloves,"The first time an elite pack damages you, gain an absorb shield equal to 120–150% of your maximum Life for 10 seconds. ; Basic Information ; Pictures and Video ; The shield created by this item absorbs all damage until the damage threshold is reached or 6 seconds has passed."
Staff of Kyro,,Daibo,"Increases Deadly Reach Damage by 40–50% ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level."
Stalgard's Decimator,Weapon (2H),Two-Handed Sword,"Your melee attacks throw a piercing axe at a nearby enemy, dealing 550–650% weapon damage as Physical. ; Benefits from Physical skills deal X% more damage . ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level."
Starmetal Kukri,Weapon (1H),Ceremonial Knife,"Reduce the cooldown of Fetish Army and Big Bad Voodoo by 1 second each time your fetishes deal damage. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Steady Strikers,Wrists,Bracers,"Attack Speed Increased by 2.0–7.0% ; Bracers do not normally roll with Attack Speed. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level. ; 16–19 Base Armor"
Stone Gauntlets,Hands,Gloves,"10.0–20.0% Chance to Immobilize on Hit ; Immobilize stops enemies from moving but does not stop them from attacking. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; 192–209 Base Armor"
Stone of Jordan,Ring,Ring,"Increases damage against elites by 25–30% Increases damage of one element type by 15-20% ; This ring has a high Elite Damage bonus and a high element damage bonus. ; Rings don't normally roll with increased resource amount. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level."
Storm Crow,Head,Wizard Hat,20–40% chance to cast a fiery ball when attacking. Lightning skills deal 15–20% more damage. ; Basic Information ; Advanced Information ; Pictures and Video ; Fireball does 100 - 130% average weapon damage and has an area of affect of approximately 20 yards. ; Internal cooldown of approximately 4 seconds.
Stormshield,Off-hand,Shield,"Reduces damage from melee attacks by 25.0–30.0% ; This shield has a large melee damage reduction. When combined with the legendary String of Ears belt you can get up to a 60% reduction to melee damage. When combined with the natural 30% melee reduction that both the Monk and Barbarian have, you could end up with an 90% reduction to melee damage. ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 1060–1259 Base Armor ; +19.0–24.0% Chance to Block ; (2443–3053)–(2931–4274) Block Amount"
Striders of Destiny,Feet,Set Boots,Part of the Delsere
String of Ears,Waist,Belt,"Reduces damage from melee attacks by 25-30%. ; This item rolls with a much higher value from reduced damage from melee attacks than normally possible. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; 150–164 Base Armor"
Strongarm Bracers,Wrists,Bracers,"Enemies hit by knockbacks suffer 20-30% more damage for 5 seconds when they land. ; Note: Certain effects that are not labelled as Knockback may still trigger this effect. This includes pulling and vortex effects such as the monk skill Cyclone Strike and the wizard skill Black Hole. ; The effect is applied as a debuff. This means all members in a group benefit from the increased damage, not just the player that has the bracers. The player with the bracers must be the one to knockback the enemies though. ; The increased damage stacks with other players in the party that also have the bracers. Example: If two players have perfect Strongarm bracers with 30%, if they both use knockback skills the monster will take 60% more damage. ; Potential bug - Does not seem work with items that have the stat ""% chance on hit to knockback"". ; The buff will be applied when pets knock enemies back."
Sublime Conviction,Off-hand,Crusader Shield,"When you block, you have up to a 15–20% chance to Stun the attacker for 1.5 seconds based on your current Wrath. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 288–359 Base Armor"
Sun Keeper,Weapon (1H),One-Handed Mace,"Increases damage against elites by 15–30% +26–60% Extra Gold from Monsters ; This mace has a large bonus to elite damage and it rolls with Gold Find which normally does not roll on weapons. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
Sunder,Weapon (2H),Two-Handed Mace,"25–50% chance to sunder the ground your enemies walk on when you attack. Crafted Two-Handed Mace that has 4 random Magic Properties. ; Basic Information ; Pictures and Video ; As of patch 2.06 Sunder appears to do nothing at all except produce a visual effect. ; Note: Some of the required ingredients can only be found in Reaper of Souls. ; 66,960 Gold"
Sunwuko's Balance,Shoulders,Set Shoulders,"Part of the Monkey King ; Decoy Behavior ; The decoy will attempt to spawn next to an enemy at your cast location. ; If it doesn't find any enemies near your cast location, it will attempt to spawn next to an enemy near you. ; If it doesn't find any enemies near you, it will spawn in a random location near you ; Monkey King's Garb Sunwuko's Balance"
Sunwuko's Crown,Head,Set Helmet,"Part of the Monkey King ; Decoy Behavior ; The decoy will attempt to spawn next to an enemy at your cast location. ; If it doesn't find any enemies near your cast location, it will attempt to spawn next to an enemy near you. ; If it doesn't find any enemies near you, it will spawn in a random location near you ; Monkey King's Garb Sunwuko's Balance"
Sunwuko's Paws,Hands,Set Gloves,"Part of the Monkey King ; Decoy Behavior ; The decoy will attempt to spawn next to an enemy at your cast location. ; If it doesn't find any enemies near your cast location, it will attempt to spawn next to an enemy near you. ; If it doesn't find any enemies near you, it will spawn in a random location near you ; Monkey King's Garb Sunwuko's Balance"
Sunwuko's Shines,Neck,Set Amulet,"Part of the Monkey King ; Decoy Behavior ; The decoy will attempt to spawn next to an enemy at your cast location. ; If it doesn't find any enemies near your cast location, it will attempt to spawn next to an enemy near you. ; If it doesn't find any enemies near you, it will spawn in a random location near you ; Monkey King's Garb Sunwuko's Balance"
SuWong Diviner,Weapon (2H),Staff,Acid Cloud gains the effect of the Lob Blob Bomb rune.
Swamp Land Waders,Legs,Pants,"Reduces duration of control impairing effects by 8–14% Poison Skills deal 15-20% more damage. ; Pants don't usually roll with Crowd Control Reduction. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; 225–247 Base Armor"
Swiftmount,Weapon (1H),One-Handed Flail,"Doubles the duration of Steed Charge. ; When using the Endurance rune this Flail will allow you to charge for 4 seconds, for all other runes you can charge for 3 seconds. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Sydyru Crust,Weapon (2H),Bow,Crafted Bow that has 3 random Magic Properties.
Taeguk,Gem,Gem,"Gain 0.5% increased damage for 3 seconds after spending primary resource. This effect stacks up to 20 times. Gaining a stack refreshes all existing stacks. Gain 0.5% increased Armor for every stack. (Requires Rank 25) ; Legendary effect displayed above is of a Rank 1 gem. ; Only found in Greater Rifts. ; Upgrade rank grants: +1 max stack. ; The damage bonus is summed together with other regular skill buffs. To learn more about damage bonus classes see this thread . ; ""Given enough resources, one is possessed of an absolute and infinite potentiality."" - High Priest Baek"
Tal Rasha's Allegiance,Neck,Set Amulet,Part of the Tal Rasha
Tal Rasha's Brace,Waist,Set Belt,Part of the Tal Rasha
Tal Rasha's Guise of Wisdom,Head,Helmet,Part of the Tal Rasha
Tal Rasha's Relentless Pursuit,Chest,Set Chest Armor,Attack Speed Increased by 5.0–6.0% Part of the Tal Rasha
Tal Rasha's Unwavering Glare,Off-hand,Set Orb,Part of the Tal Rasha
Talisman of Aranoch,Neck,Amulet,Prevent all Cold Damage taken and heal yourself for 10-15% of the amount prevented. ; The amulet does not prevent you from being frozen or slowed by frozen attacks. ; If wear this amulet and Ice Climbers you will heal from Cold attacks and you can never be frozen. ; This amulet prevents you from taking damage from the effects of the Frozen and Frozen Pulse elite powers. ; Other Cold attacks include: ; Izual's Frozen Nova and Frozen Storm attack
Tasker And Theo,Hands,Gloves,"Increase attack speed of your pets by 40-50%. ; Increases the speed that your pets attack. Pets are any monster summoned by a skill such as Barbarian's Call of the Ancients and Witch Doctor summons. Item requires further testing to see if it applies to monsters summoned from legendary items. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 309–366 Base Armor"
The Ancient Bonesaber of Zumakalis,Weapon (1H),One-Handed Sword,No unique legendary effect.
The Barber,Weapon (1H),Dagger,"Critical Hit Damage Increased by 20.0–35.0% ; Only some legendary weapons can roll with Critical Hit Damage. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level."
The Burning Axe of Sankis,Weapon (1H),One-Handed Axe,"Chance to fight through the pain when enemies hit you. ; Basic Information ; Pictures and Video ; Activates an effect similar to the Barbarian skill Ignore Pain which reduces incoming damage for a short duration. ; This Burning Axe of Sankis effect reduces all damage by 35% as opposed to Ignore Pain's 50%. ; The duration is for 4 seconds, as opposed to Ignore Pain's 5 seconds."
The Butcher's Sickle,Weapon (1H),One-Handed Axe,20–25% chance to drag enemies to you when attacking.
The Cloak of the Garwulf,Chest,Cloak,"Companion - Wolf Companion now summons 3 wolves. ; Wolves travel in packs and this Cloak allows you to summon a pack of 3. Also, Movement Speed doesn't normally roll on chest items. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 360-472 Base Armor"
The Compass Rose,Ring,Set Ring,+10–12% Movement Speed Part of the Endless Walk set ; Rings don't normally roll with Movement Speed. ; The two piece set bonus will give you 250 Vitality and increase your Crit Damage by 50%. ; Endless Walk The Traveler's Pledge ; The Compass Rose ; (2) Set:
The Crudest Boots,Feet,Boots,"Mystic Ally summons two Mystic Allies that fight by your side. ; These boots cause Mystic Ally to summon two Mystic Allies to fight along with you. ; The passive and active bonus provided by the Mystic Ally are doubled, and both Mystic Allies will contribute to the Unity passive. ; Level 19 Stats ; Level 70 Stats ; The minimum level this item can drop at is 19. Below you will find the range of stats found on the level 19 version, however the item can drop at any level above 19. The legendary effect does not change with level."
The Dagger of Darts,Weapon (1H),Ceremonial Knife,"Your Poison Darts and your Fetishes ; This knife will make your darts and the darts of your fetishes pierce enemies. ; Level 12 Stats ; Level 70 Stats ; The minimum level this item can drop at is 12. Below you will find the range of stats found on the level 12 version, however the item can drop at any level above 12. The legendary effect does not change with level. ; Damage"
The Demon's Demise,Weapon (1H),Hand Crossbow,Spike Trap - Sticky Trap spreads to nearby enemies when it explodes.
The Ess of Johan,Neck,Amulet,Chance on hit to pull in enemies toward your target and Slow them by 60–80%. ; Internal Cooldown is around 15 seconds ; Video of the items effect.
The Executioner,Weapon (2H),Two-Handed Axe,"No unique legendary effect. ; Weapons don't normally roll with Movement Speed. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level. ; Damage"
The Eye Of The Storm,Head,Spirit Stone,"Lightning skills deal 15-30% more damage. ; This spirit stone has a large damage bonus to lightning damage and you can combine it with Won Khim Lau's 15-20% lightning damage buff. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; 255–284 Base Armor"
The Final Witness,Off-hand,Crusader Shield,"Shield Glare now hits all enemies around you. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 288–359 Base Armor"
The Fist of Az’Turrasq,Weapon (1H),Fist Weapon,"Exploding Palm ; This fist weapon increases the damage of your Exploding Palm's on-death explosion. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
The Flavor of Time,Neck,Amulet,"+10-12% Movement Speed ; Amulets do not usually have movement speed on them. The other guaranteed stats on this item are also time related. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; Primary Stats"
The Flow of Eternity,,Daibo,"Reduces the cooldown of Seven-Sided Strike by 45–60%. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
The Furnace,Weapon (2H),Two-Handed Mace,"Increases damage against elites by 40–50%. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
The Gavel of Judgment,Weapon (2H),Two-Handed Mighty Weapon,Hammer of the Ancients returns 20–25 Fury if it hits 3 or less enemies.
The Gidbinn,Weapon (1H),Ceremonial Knife,"Chance to summon a Fetish when attacking. ; As of Patch 2.0.4 (4-08-2014), the survivability of the fetish was greatly increased. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
The Grand Vizier,Weapon (2H),Staff,"Reduces the Arcane Power cost of Meteor by 40–50%. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage ; 1062.5 Base DPS"
The Grandfather,Weapon (2H),Two-Handed Sword,"+9–16% Life ; Weapons don't normally roll with Life % Bonus. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
The Grin Reaper,Head,Voodoo Mask,"Chance to summon horrific Mimics when attacking. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; 255–284 Base Armor"
The Helm of Command,Head,Helmet,+8% Chance to Block Crafted Helmet that has 4 random Magic Properties ; Helmets don't normally roll with Block Chance on them. ; Level 60 stat ranges shown below. ; 360–397 Base Armor ; Primary Stats
The Helm of Rule,Head,Helmet,+11% Chance to Block Crafted Helmet that has 4 random Magic Properties ; Helmets don't normally roll with Block Chance on them. ; Level 70 stat ranges shown below. ; 660–759 Base Armor ; Primary Stats ; +626–750 Vitality
The Horadric Hamburger,Weapon (1H),Dagger,"Unique item that can only be found in Whimsyshire. ; This tasty dagger only drops from Piñatas in Whimsyshire. ; Level 30 Stats ; Level 70 Stats ; The minimum level this item can drop at is 30. Below you will find the range of stats found on the level 30 version, however the item can drop at any level above 30. The legendary effect does not change with level. ; Damage"
The Laws of Seph,Head,Spirit Stone,"Using Blinding Flash restores 125–165 Spirit. ; With this spirit stone, using Blinding Flash will restore 125–165 Spirit. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 114–149 Base Armor"
The Magi,Weapon (2H),Staff,"Reduces duration of control impairing effects by 7–12% ; Weapons don't normally roll with Crowd Control Reduction. ; 3,720 Gold ; 27x Common Debris ; 13x Exquisite Essence ; 4x Iridescent Tears"
The Magistrate,Head,Wizard Hat,"Frost Hydra now periodically casts Frost Nova. ; Benefits from the +% Cold Elemental Damage stat. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 114–149 Base Armor"
The Mind's Eye,Head,Spirit Stone,"Inner Sanctuary increases Spirit Regeneration per second by 10-15. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Primary Stats"
The Mortal Drama,Weapon (1H),Two-Handed Flail,"Double the number of Bombardment impacts. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 61 Stats ; Level 70 Stats ; The minimum level this item can drop at is 61. Below you will find the range of stats found on the level 61 version, however the item can drop at any level above 61. The legendary effect does not change with level. ; Damage"
The Murlocket,Neck,Amulet,"Call forth a creature from the depths. ; This locket summons a little murlock pet that follows you, but does nothing else. ; Drops from Moontooth in the Sewers of Caldeum. ; You can find a guide for obtaining this item at the following link. Guaranteed Stats The minimum level this item can drop at is 45. Below you will find the range of stats found on the level 45 version, however the item can drop at any level above 45. The legendary effect does not change with level. ; One of 2 Magic Properties (varies) ; Health Globes and Potions Grant +808–1339 Life."
The Ninth Cirri Satchel,Off-hand,Quiver,"Hungering Arrow has 20% additional chance to pierce. ; When using the Puncturing Arrow rune your arrow will have a 70% pierce chance, if you are not using that rune, the arrow will have a 55% pierce chance. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Primary Stats"
The Oculus,Off-hand,Orb,"Taking damage has up to a 15–20% chance to reset the cooldown on Teleport. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Primary Stats"
The Paddle,,Daibo,"Plays a slap sound effect. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
The Raven's Wing,Weapon (2H),Bow,"Ravens flock to your side. ; Summons a Raven pet that follows you and picks up gold. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
The Shadow’s Bane,Chest,Set Chest Armor,Part of the The Shadow’s Mantle set ; The two piece set bonus automatically casts Smoke Screen if you fall below 25% life. This can happen once every 30 seconds. ; The four piece bonus reduces all your cooldowns by 1 second each time you kill a demon. ; The Shadow’s Mantle The Shadow’s Bane ; The Shadow’s Grasp ; The Shadow’s Heels
The Shadow’s Coil,Legs,Set Pants,Part of the The Shadow’s Mantle set ; The two piece set bonus automatically casts Smoke Screen if you fall below 25% life. This can happen once every 30 seconds. ; The four piece bonus reduces all your cooldowns by 1 second each time you kill a demon. ; The Shadow’s Mantle The Shadow’s Bane ; The Shadow’s Grasp ; The Shadow’s Heels
The Shadow’s Grasp,Hands,Set Gloves,Part of the The Shadow’s Mantle set ; The two piece set bonus automatically casts Smoke Screen if you fall below 25% life. This can happen once every 30 seconds. ; The four piece bonus reduces all your cooldowns by 1 second each time you kill a demon. ; The Shadow’s Mantle The Shadow’s Bane ; The Shadow’s Grasp ; The Shadow’s Heels
The Shadow’s Heels,Feet,Set Boots,Part of the The Shadow’s Mantle set ; The two piece set bonus automatically casts Smoke Screen if you fall below 25% life. This can happen once every 30 seconds. ; The four piece bonus reduces all your cooldowns by 1 second each time you kill a demon. ; The Shadow’s Mantle The Shadow’s Bane ; The Shadow’s Grasp ; The Shadow’s Heels
The Slanderer,Weapon (1H),Set One-Handed Sword,"Part of the Istvan ; Set bonus details will be added once this item has been fully tested. ; Istvan's Paired Blades Little Rogue ; The Slanderer ; (2) Set: Every time you spend primary resource, you gain 6% increased attack speed for 5 seconds. This effect stacks up to 5 times. ; Level 70 stat ranges shown below."
The Smoldering Core,Weapon (2H),Staff,"Lesser enemies are now lured to your Meteor impact areas. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
The Spider Queen's Grasp,Weapon (1H),Ceremonial Knife,"Corpse Spiders releases a web on impact that Slows enemies by 60–80%. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
The Star of Azkaranth,Neck,Amulet,"Prevent all Fire damage taken and heal yourself for 10-15% of the amount prevented. ; The Desecrator pools, Fire Chains and Molten paths of elites will now heal you instead of damaging you. ; Other Fire Enemies Include: ; Those tall Act II monsters that shoot fire projectiles that coat the ground. ; The fireballs thrown by Lacuni Warriors ; The fireballs thrown by Dark Cultists"
The Sultan of Blinding Sand,Weapon (2H),Two-Handed Sword,"20.0–40.0% Chance to Blind on Hit ; Weapons don't normally roll with such a high chance to Blind enemies. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; Damage"
The Swami,Head,Wizard Hat,"The damage bonus from kills while in Archon form now lasts for 10–15 seconds after Archon expires. ; This hat makes your damage bonus last 10–15 seconds after Archon expires. ; Level 27 Stats ; Level 70 Stats ; The minimum level this item can drop at is 27. Below you will find the range of stats found on the level 27 version, however the item can drop at any level above 27. The legendary effect does not change with level. ; 150–185 Base Armor"
The Tall Man's Finger,Ring,Ring,"Zombie Dogs instead summons a single gargantuan dog with more damage and health than all other dogs combined. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; One of 3 Magic Properties (varies)"
The Three Hundredth Spear,Weapon (1H),Spear,"Increases Ancient Spear Damage by 35–50% (Barbarian Only) Increases Weapon Throw Damage by 35–50% (Barbarian Only) ; This spear has very large damage bonuses for the Barbarian's Ancient Spear and Weapon Throw skills. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level."
The Tormentor,Weapon (2H),Staff,"Chance to charm enemies when you hit them. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
The Traveler's Pledge,Neck,Set Amulet,Part of the Endless Walk set ; The two piece set bonus will give you 250 Vitality and increase your Crit Damage by 50%. ; Endless Walk The Compass Rose ; The Traveler's Pledge ; (2) Set: ; +250 Vitality
The Undisputed Champion,Waist,Mighty Belt,"Frenzy gains the effect of every rune. ; This item was an exclusive Season 2 drop, but now can be found anywhere as of Patch 2.2.0 and the end of Season 2. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; The minimum level this item can drop at is 11. Below you will find the range of stats found on the level 11 version. Armor ; 74–100 Base Armor ; Primary Stats"
The Wailing Host,Ring,Set Ring,Part of the Legacy of Nightmares set ; Basic Information ; Advanced Information ; Pictures and Video ; The skeleton will be either a bowman or a swordsman. ; The skeletons do 300% weapon damage and last for 30 seconds.
The Witching Hour,Waist,Belt,"Attack Speed Increased by 5–7% Critical Hit Damage Increased by 26–50% ; This belt is unique as belts do not normally roll with Attack Speed or Critical Hit Damage. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 265–314 Base Armor"
The Zweihander,Weapon (2H),Two-Handed Sword,No unique legendary effect.
Thunder God’s Vigor,Waist,Belt,"Blocking, dodging or being hit causes you to discharge bolts of electricity that deal 100–130% weapon damage as Lightning. ; Basic Information ; Advanced Information ; Pictures and Video ; Benefits from Lightning skills deal X% more damage . ; On proc 2 charged bolts are released."
"Thunderfury, Blessed Blade of the Windseeker",Weapon (1H),One-Handed Sword,"Chance on hit to blast your enemy with Lightning, dealing 279–372% weapon damage as Lightning and then jumping to additional nearby enemies. Each enemy hit has their attack speed and movement speed reduced by 30% for 3 seconds. Jumps up to 5 targets. ; Basic Information ; Advanced Information ; Pictures and Video ; Benefits from Lightning skills deal X% more damage . ; Reduces movement and attack speed of targets by 30%"
